id,source,stage,tempC,windKph,cloudPct,rainMm,riverFlowCumec,efficiencyPct,vibration,ageYears,lastServiceDays,batteryHealth,socPct,emergencyPct,txLossPct,devPct,producedKW,storedKW,problem_class,severity,solution_id
0,solar,storage,30.1,57.3,13,15.7,189,81.7,6.3,18,379,86,76.3,15.5,4.12,5.89,3.65,3.16,0,low,0
1,wind,forecast,37.6,76.0,86,0,119,98.2,7.4,13,386,87,65.6,18.6,2.17,10.48,3.38,3.02,4,medium,7
2,hydro,storage,18.6,78.8,46,0,258,82.8,4.0,4,222,87,81.2,21.9,12.38,4.74,2.89,2.68,0,low,0
3,hydro,distribution,30.3,89.0,73,3.7,42,97.5,4.2,4,372,94,45.8,5.3,12.5,7.63,4.47,3.88,3,medium,5
4,hydro,distribution,35.1,105.6,69,2.9,108,81.4,5.2,16,210,82,24.2,21.1,1.12,11.1,2.02,1.98,0,low,9
5,hydro,distribution,26.6,23.6,88,0,241,79.4,3.5,2,153,75,48.5,20.7,6.7,4.76,4.01,3.99,0,low,0
6,solar,distribution,38.2,53.7,8,0,124,63.8,6.0,14,79,83,92.1,4.1,6.87,8.16,3.41,3.33,0,low,9
7,solar,production,20.9,6.8,69,14.4,192,73.9,0.0,19,299,86,70.5,23.6,8.1,1.18,3.16,2.75,1,critical,2
8,hydro,storage,20.0,74.2,17,6.7,108,79.8,3.1,5,271,67,40.7,24.1,6.06,11.2,1.76,1.72,2,critical,4
9,solar,forecast,30.2,37.4,38,0,157,97.0,4.6,6,83,92,54.4,12.0,5.37,8.78,3.59,3.42,3,low,0
10,solar,production,19.1,60.8,6,0,78,78.9,5.4,1,71,96,55.3,20.1,7.72,7.5,4.85,4.24,1,critical,2
11,wind,storage,28.2,46.7,10,0,74,70.3,4.0,14,152,84,21.8,13.9,6.78,7.02,3.35,3.11,2,medium,3
12,solar,production,23.6,105.0,58,0,230,92.5,6.8,6,18,77,85.4,10.1,9.93,1.68,4.27,3.77,1,critical,2
13,wind,production,31.7,62.8,85,0,97,63.8,3.5,4,355,58,77.1,18.6,3.41,2.89,3.71,3.44,1,critical,2
14,solar,storage,40.4,19.4,32,10.6,259,95.3,2.1,1,34,61,27.3,9.1,2.22,6.77,3.46,3.45,2,critical,4
15,wind,distribution,32.6,72.7,78,10.9,185,68.4,3.7,4,356,78,86.8,17.7,13.01,5.69,2.86,2.84,3,medium,5
16,hydro,distribution,39.1,32.4,42,0,234,95.7,2.4,14,168,92,90.8,14.5,5.45,21.1,3.46,3.32,5,critical,8
17,hydro,forecast,20.8,15.6,45,0,107,61.1,4.6,12,217,79,40.8,19.9,9.61,6.78,4.21,3.69,5,low,8
18,hydro,distribution,39.3,87.0,29,9.4,152,76.3,7.7,5,325,92,13.5,6.1,1.49,4.82,4.53,4.41,0,low,0
19,wind,storage,19.4,92.8,80,11.9,86,86.5,6.9,13,367,78,95.3,7.3,11.78,2.92,2.7,2.38,2,critical,4
20,hydro,distribution,31.2,53.2,100,0,70,84.5,1.2,1,186,88,71.7,20.3,9.31,1.37,1.79,1.62,3,medium,5
21,solar,forecast,42.0,4.0,27,10.2,108,82.3,7.6,13,280,88,82.1,17.2,13.55,4.74,1.87,1.63,4,medium,7
22,hydro,storage,25.5,81.6,84,4.1,104,71.5,2.3,5,203,67,97.7,16.5,12.02,0.05,3.77,3.74,2,critical,4
23,hydro,production,35.3,5.2,40,0,257,64.6,5.3,1,196,59,40.0,7.0,3.0,2.98,3.64,3.16,1,critical,2
24,wind,forecast,39.0,80.5,48,2.5,60,73.6,7.3,4,289,88,28.5,10.2,11.6,9.91,4.71,4.25,0,low,7
25,wind,storage,36.1,26.4,41,0,112,95.4,5.8,16,211,75,21.8,20.5,3.86,7.69,3.91,3.53,2,medium,3
26,wind,distribution,23.1,49.7,72,0.7,98,72.8,0.9,9,232,71,18.8,16.4,4.05,0.95,4.9,4.58,0,low,0
27,wind,distribution,33.2,45.1,70,0.5,116,63.7,6.1,16,352,95,95.5,17.4,8.1,6.25,2.23,2.01,3,medium,5
28,wind,production,18.3,62.4,32,10.2,186,76.2,6.2,16,252,76,6.1,19.4,9.27,10.74,3.81,3.78,1,critical,2
29,solar,distribution,30.4,69.3,47,13.8,167,90.0,7.9,5,173,69,94.6,6.7,9.75,9.12,3.97,3.42,3,medium,5
30,hydro,production,20.6,31.3,53,12.7,161,98.6,7.9,16,341,97,37.4,10.0,8.89,6.44,2.39,2.35,1,critical,2
31,solar,distribution,21.2,53.9,46,2.7,80,74.3,4.1,13,160,68,60.3,20.7,12.22,15.74,4.04,3.83,5,critical,8
32,wind,distribution,32.8,94.1,66,0,199,73.2,1.4,18,94,71,96.6,24.1,7.86,0.6,4.54,4.29,0,low,0
33,solar,forecast,29.1,24.6,65,5.6,84,90.9,2.2,16,74,90,69.5,21.7,5.73,1.13,3.78,3.52,4,medium,7
34,solar,production,32.6,78.1,19,2.4,238,91.2,4.6,2,148,74,94.4,6.1,4.48,0.32,3.39,3.06,1,critical,2
35,solar,forecast,36.0,75.4,52,0,169,97.3,2.4,17,191,89,13.7,17.6,6.29,2.3,4.65,4.05,0,low,0
36,wind,forecast,19.4,40.1,90,0,114,89.5,1.3,7,51,82,68.0,6.6,11.94,8.23,2.34,2.22,4,medium,7
37,wind,production,30.9,96.0,92,0,210,68.2,2.5,15,291,93,50.8,22.2,3.74,10.4,2.18,2.1,1,critical,2
38,hydro,production,20.8,24.0,55,10.2,139,61.2,7.8,9,152,78,42.8,13.0,6.98,19.8,2.46,2.22,1,critical,2
39,solar,production,41.3,51.2,77,1.3,208,86.1,2.6,9,354,60,48.8,10.0,11.74,2.37,3.34,3.1,1,medium,1
40,wind,storage,18.9,65.7,8,0,57,75.1,5.2,19,238,94,50.5,2.5,12.68,2.67,1.97,1.71,2,critical,4
41,hydro,storage,18.4,7.0,9,3.2,217,97.6,7.2,5,162,85,28.0,18.5,7.09,4.49,2.35,2.08,0,low,0
42,wind,distribution,19.0,28.9,23,0,180,78.6,3.1,17,13,86,94.8,10.8,1.44,8.51,3.13,2.73,0,low,9
43,hydro,storage,24.4,48.6,94,0,252,80.3,7.6,4,293,78,81.6,15.5,8.21,0.84,3.1,3.01,2,medium,3
44,wind,distribution,41.4,28.4,6,1.9,164,70.4,3.0,9,90,57,25.8,21.4,11.44,16.53,3.47,3.42,5,critical,7
45,hydro,forecast,41.0,99.4,24,0,42,71.4,1.3,3,147,68,5.7,16.2,1.57,11.1,4.74,4.08,4,critical,7
46,hydro,production,31.1,57.8,69,4.1,168,73.7,4.3,15,49,70,8.0,11.5,8.23,16.93,3.04,2.87,5,critical,8
47,solar,storage,27.6,108.2,83,4.7,118,62.9,6.0,19,269,70,83.2,12.9,10.01,6.69,3.9,3.5,2,critical,4
48,solar,production,18.0,43.0,89,0,175,73.2,7.5,3,385,98,61.2,17.0,4.09,4.09,2.82,2.5,1,critical,2
49,hydro,production,25.4,59.4,3,0,212,77.9,0.8,16,389,65,62.7,13.6,9.61,13.55,1.9,1.65,5,critical,8
50,wind,storage,18.5,67.7,19,0,143,82.9,0.8,11,232,59,85.3,23.9,6.7,10.66,3.05,3.02,2,critical,4
51,wind,distribution,29.3,94.9,21,11.1,82,68.3,5.6,13,120,99,68.1,5.8,2.32,9.26,2.85,2.68,0,low,9
52,wind,production,32.8,34.7,69,0,97,73.6,7.4,8,94,87,33.7,18.9,11.72,2.38,2.55,2.49,1,critical,2
53,solar,distribution,41.7,70.7,87,9.4,39,91.2,4.1,18,157,81,26.5,17.9,12.46,6.18,4.59,4.55,3,medium,5
54,hydro,storage,38.0,39.9,49,1.7,164,76.7,5.0,12,129,90,60.5,10.2,10.66,3.81,4.55,3.94,0,low,0
55,wind,distribution,29.3,89.9,55,0,169,63.3,0.8,7,208,62,48.4,10.0,7.71,3.45,4.59,3.97,0,low,0
56,wind,forecast,20.3,9.2,43,0,135,63.9,0.8,7,288,86,37.4,6.2,2.13,2.54,2.33,2.14,4,medium,7
