kind,tech,capacityKW,hours,tempC,loadPct,efficiencyPct,src
storage,Solid-State pilot,99.5,4.7,43.2,43.4,99,synth
production,Wind-Geared 2MW,278.4,13.6,15.1,42.4,83.47,synth
storage,Li-ion NMC,396.4,4.6,44.9,51.1,87.62,synth
distribution,HVDC link,267.5,4.9,20.8,26.5,97.22,synth
production,Hydro-Francis,280.5,9.3,36.1,26.1,86.78,synth
distribution,HV-220kV line,371.8,17.1,17.8,56.9,91.79,synth
production,Hydro-Kaplan,486.6,6.2,33.8,93.6,90.76,synth
distribution,HV-132kV line,414.3,15.7,27.1,66.6,93.73,synth
distribution,HV-220kV line,110.4,10.0,37.1,81.5,92.7,synth
production,Wind-DirectDrive 4MW,248.4,1.7,25.7,99.1,94.9,synth
production,Solar-TOPCon 580W,492.8,18.2,35.6,24.5,88.28,synth
production,Wind-Geared 2MW,149.8,2.7,40.3,93.2,85.41,synth
storage,Flow-Vanadium,1.4,16.1,19.4,86.3,79.28,synth
production,Wind-DirectDrive 4MW,333.6,9.9,40.9,98.0,90.55,synth
production,Wind-Geared 2MW,120.4,5.0,40.1,32.9,85.56,synth
production,Hydro-Francis,251.3,8.2,44.4,77.0,84.41,synth
distribution,LV-11kV line,245.3,6.1,40.2,28.2,82.36,synth
storage,Solid-State pilot,227.4,4.6,32.8,25.7,93.84,synth
production,Hydro-Francis,71.5,2.7,41.3,60.8,83.07,synth
production,Wind-DirectDrive 4MW,475.7,8.3,28.8,59.1,90.6,synth
distribution,LV-11kV line,97.8,16.7,27.8,40.1,85.99,synth
distribution,HVDC link,158.2,4.7,23.4,49.5,94.43,synth
distribution,LV-11kV line,492.5,15.6,34.7,51.5,79.73,synth
storage,Lead-Acid,485.2,17.6,40.3,72.7,72.41,synth
production,Solar-TOPCon 580W,337.9,3.8,25.8,82.5,93.96,synth
distribution,HV-132kV line,264.3,17.3,43.8,29.6,94.05,synth
distribution,HV-220kV line,136.2,4.1,44.1,24.8,92.95,synth
storage,Li-ion LFP,440.0,6.7,25.8,71.8,91.66,synth
distribution,HV-132kV line,24.5,15.2,19.5,52.4,96.39,synth
production,Solar-PERC 450W,3.3,1.6,38.4,23.1,82.03,synth
distribution,HVDC link,409.0,18.8,34.0,86.0,94.37,synth
production,Wind-DirectDrive 4MW,275.8,19.8,26.6,77.2,92.32,synth
production,Hydro-Francis,241.3,11.3,38.1,45.8,83.44,synth
distribution,LV-11kV line,470.0,8.3,34.8,64.5,83.78,synth
production,Solar-PERC 450W,348.5,5.0,33.4,99.5,81.51,synth
storage,Lead-Acid,96.5,10.5,38.5,37.1,75.46,synth
storage,Li-ion NMC,469.4,7.5,19.4,41.2,89.68,synth
storage,Li-ion NMC,348.3,2.8,32.6,25.4,88.37,synth
storage,Li-ion NMC,482.5,18.3,32.5,54.6,87.18,synth
storage,Li-ion LFP,343.8,16.3,31.3,57.8,91.56,synth
storage,Li-ion NMC,193.6,17.5,27.9,80.1,90.98,synth
storage,Lead-Acid,256.1,9.4,32.0,66.1,74.07,synth
storage,Solid-State pilot,453.3,8.1,23.0,99.8,95.39,synth
production,Solar-PERC 450W,349.6,3.7,16.4,66.2,83.2,synth
storage,Solid-State pilot,473.9,17.8,34.9,81.8,95.42,synth
distribution,HV-132kV line,237.1,2.9,34.0,38.5,94.66,synth
distribution,HV-132kV line,469.4,18.7,18.2,99.8,93.56,synth
production,Hydro-Francis,179.8,9.9,27.2,26.2,84.59,synth
production,Hydro-Kaplan,182.0,5.4,41.4,76.2,87.81,synth
distribution,HV-220kV line,90.3,11.6,21.4,48.1,93.33,synth
storage,Li-ion LFP,371.2,11.2,30.7,49.3,89.75,synth
production,Wind-DirectDrive 4MW,273.0,9.5,26.5,52.8,93.59,synth
storage,Li-ion LFP,185.5,3.3,29.9,42.7,92.88,synth
distribution,HVDC link,165.6,10.1,37.2,38.3,92.84,synth
production,Wind-DirectDrive 4MW,14.3,19.1,22.5,97.3,92.48,synth
production,Wind-Geared 2MW,365.3,13.8,27.8,68.1,85.69,synth
distribution,HV-220kV line,153.1,5.5,37.9,29.3,94.4,synth
storage,Li-ion NMC,474.5,10.2,27.3,35.0,90.7,synth
production,Wind-DirectDrive 4MW,85.8,19.5,43.9,59.3,90.38,synth
storage,Lead-Acid,469.8,17.3,17.9,96.4,72.41,synth
storage,Li-ion LFP,68.7,8.0,43.9,34.7,91.31,synth
storage,Solid-State pilot,461.8,3.2,35.9,97.0,90.68,synth
distribution,HVDC link,8.6,6.5,28.3,53.0,96.83,synth
production,Hydro-Kaplan,329.4,19.8,29.5,74.5,89.0,synth
distribution,HV-132kV line,397.3,1.6,36.1,54.9,91.47,synth
production,Wind-DirectDrive 4MW,460.2,16.4,40.0,93.5,93.78,synth
production,Hydro-Francis,297.3,18.2,31.3,74.5,86.56,synth
production,Wind-DirectDrive 4MW,256.8,1.5,24.2,28.8,94.13,synth
storage,Flow-Vanadium,65.3,14.0,30.8,81.9,78.67,synth
distribution,HV-220kV line,385.4,9.2,26.4,51.8,93.72,synth
production,Wind-Geared 2MW,105.3,12.8,26.8,54.1,86.64,synth
distribution,HVDC link,302.5,10.6,30.5,98.4,96.97,synth
production,Solar-TOPCon 580W,227.1,3.6,17.0,25.1,92.94,synth
storage,Lead-Acid,148.2,18.3,22.0,92.1,73.41,synth
production,Solar-PERC 450W,426.4,8.7,22.6,88.5,82.83,synth
production,Wind-Geared 2MW,155.1,11.0,38.7,99.4,84.68,synth
storage,Li-ion LFP,220.4,9.3,40.1,45.4,92.34,synth
storage,Solid-State pilot,149.5,6.8,34.6,48.7,94.01,synth
production,Hydro-Francis,450.4,10.5,29.3,75.3,84.1,synth
distribution,HV-132kV line,444.0,11.8,39.8,86.8,94.39,synth
production,Hydro-Francis,320.7,11.6,19.8,37.6,81.69,synth
production,Solar-PERC 450W,481.9,19.0,27.1,70.0,85.24,synth
storage,Li-ion LFP,22.2,1.4,36.9,38.3,90.24,synth
production,Wind-Geared 2MW,196.8,9.7,43.9,61.2,84.98,synth
distribution,LV-11kV line,380.1,15.3,32.6,53.7,82.52,synth
storage,Lead-Acid,96.0,12.4,40.2,95.6,70.19,synth
production,Solar-PERC 450W,148.0,7.4,23.2,57.4,83.04,synth
production,Hydro-Kaplan,185.4,12.5,42.0,32.7,87.85,synth
production,Solar-PERC 450W,190.7,8.7,16.2,66.8,84.37,synth
distribution,LV-11kV line,68.4,15.3,21.4,64.7,85.08,synth
production,Wind-Geared 2MW,473.8,8.6,34.7,60.6,85.23,synth
production,Solar-PERC 450W,11.2,2.0,40.5,69.5,81.33,synth
distribution,LV-11kV line,436.4,10.8,29.7,28.8,83.09,synth
storage,Li-ion LFP,30.3,15.0,39.7,58.2,90.93,synth
production,Solar-TOPCon 580W,153.9,2.8,26.5,20.8,90.29,synth
production,Solar-PERC 450W,177.1,3.2,22.6,95.3,81.84,synth
storage,Solid-State pilot,350.1,13.5,35.2,56.3,92.55,synth
production,Wind-DirectDrive 4MW,150.5,1.1,24.6,52.9,93.59,synth
distribution,LV-11kV line,119.5,19.7,23.9,55.2,83.1,synth
production,Hydro-Francis,274.1,4.3,43.4,64.3,84.37,synth
distribution,HV-220kV line,284.1,19.2,41.2,35.9,94.25,synth
production,Solar-PERC 450W,19.1,8.0,44.0,28.2,83.84,synth
distribution,HV-220kV line,389.0,13.0,43.1,49.9,95.74,synth
storage,Li-ion LFP,186.2,18.3,16.7,69.7,88.66,synth
production,Wind-DirectDrive 4MW,89.0,17.6,16.3,89.5,92.88,synth
storage,Li-ion NMC,52.7,14.8,17.0,40.6,89.59,synth
distribution,HV-220kV line,339.1,17.2,26.4,78.4,96.73,synth
production,Solar-PERC 450W,87.7,10.0,24.9,42.4,83.41,synth
production,Hydro-Kaplan,219.6,10.4,30.9,74.2,91.15,synth
distribution,HV-220kV line,219.0,12.7,42.1,71.8,93.85,synth
distribution,LV-11kV line,162.3,6.3,28.5,58.9,80.65,synth
distribution,HV-132kV line,49.7,12.9,30.7,38.6,93.32,synth
production,Solar-PERC 450W,281.9,11.0,17.6,33.1,83.65,synth
production,Solar-TOPCon 580W,115.9,17.3,43.2,54.0,92.75,synth
storage,Li-ion NMC,310.3,18.1,38.8,56.2,86.91,synth
distribution,HVDC link,7.6,12.9,39.0,58.0,96.8,synth
distribution,HVDC link,385.4,10.7,22.0,71.0,96.9,synth
storage,Li-ion NMC,345.5,16.0,30.2,88.9,88.25,synth
production,Wind-Geared 2MW,24.5,6.3,19.8,53.4,85.69,synth
distribution,HVDC link,361.2,3.3,43.9,86.9,96.01,synth
storage,Flow-Vanadium,71.7,18.9,24.6,78.3,79.16,synth
distribution,LV-11kV line,36.6,17.9,17.5,75.1,82.52,synth
storage,Flow-Vanadium,141.4,10.5,18.2,76.3,80.81,synth
production,Hydro-Kaplan,62.9,19.9,43.0,79.2,88.3,synth
storage,Lead-Acid,275.5,11.2,23.8,56.7,76.33,synth
storage,Flow-Vanadium,382.8,6.5,23.4,72.1,79.51,synth
production,Wind-Geared 2MW,312.3,3.2,25.5,99.3,86.51,synth
storage,Li-ion NMC,268.2,16.8,33.1,26.7,88.47,synth
storage,Flow-Vanadium,15.4,6.7,42.3,34.8,76.08,synth
production,Wind-DirectDrive 4MW,351.5,17.7,34.4,76.9,92.91,synth
storage,Solid-State pilot,427.8,7.4,21.8,68.3,95.77,synth
storage,Solid-State pilot,436.4,13.2,44.1,33.5,96.62,synth
production,Wind-DirectDrive 4MW,303.0,5.6,31.8,40.3,91.5,synth
distribution,HV-220kV line,276.3,17.4,25.7,73.8,93.52,synth
distribution,LV-11kV line,146.5,15.3,17.1,86.9,82.0,synth
production,Solar-TOPCon 580W,98.1,8.1,40.1,42.2,94.33,synth
distribution,LV-11kV line,22.5,10.7,43.5,96.6,84.52,synth
distribution,LV-11kV line,431.9,9.9,15.9,82.1,82.21,synth
production,Solar-PERC 450W,261.4,17.8,19.7,36.7,83.02,synth
production,Solar-TOPCon 580W,484.0,9.6,33.1,22.6,90.79,synth
production,Wind-DirectDrive 4MW,431.6,3.7,17.2,70.8,90.46,synth
distribution,HV-220kV line,297.4,14.3,17.6,37.2,92.89,synth
production,Wind-Geared 2MW,233.8,19.1,23.2,49.7,88.52,synth
distribution,HV-132kV line,21.1,19.3,18.8,80.8,94.36,synth
distribution,HV-220kV line,202.2,13.5,36.1,92.9,94.32,synth
storage,Lead-Acid,126.5,8.7,43.8,92.6,74.43,synth
storage,Lead-Acid,450.7,2.5,21.0,41.2,70.69,synth
storage,Solid-State pilot,292.1,18.0,38.3,53.8,91.79,synth
production,Solar-PERC 450W,311.7,7.7,19.2,67.6,79.96,synth
production,Solar-PERC 450W,290.7,1.6,30.2,52.0,83.94,synth
storage,Li-ion LFP,6.3,14.5,23.5,49.8,94.39,synth
storage,Solid-State pilot,87.8,1.1,31.3,29.6,93.73,synth
distribution,HVDC link,82.8,8.0,41.3,40.3,95.58,synth
distribution,HVDC link,180.3,13.4,33.7,90.0,96.9,synth
distribution,LV-11kV line,62.8,1.0,19.5,64.6,84.56,synth
storage,Solid-State pilot,349.6,6.6,28.9,73.3,92.93,synth
production,Wind-Geared 2MW,464.0,2.9,32.8,75.7,87.66,synth
distribution,LV-11kV line,44.7,11.5,18.2,31.3,82.26,synth
distribution,LV-11kV line,427.3,11.3,37.1,79.6,82.05,synth
storage,Lead-Acid,210.3,4.0,38.1,42.2,72.25,synth
production,Solar-PERC 450W,86.2,14.9,20.6,52.9,82.73,synth
storage,Lead-Acid,335.1,7.3,42.8,47.2,74.04,synth
distribution,LV-11kV line,162.5,10.5,22.8,50.6,82.76,synth
distribution,HV-220kV line,270.8,1.6,24.3,96.5,95.84,synth
distribution,LV-11kV line,79.7,1.1,42.1,45.6,82.61,synth
production,Solar-PERC 450W,91.0,2.2,33.6,41.0,85.74,synth
production,Wind-DirectDrive 4MW,410.5,9.3,34.3,32.5,91.9,synth
storage,Solid-State pilot,458.6,10.8,32.7,60.6,92.32,synth
storage,Lead-Acid,380.1,11.7,32.6,31.6,72.33,synth
distribution,LV-11kV line,486.2,14.5,39.8,72.1,82.78,synth
storage,Lead-Acid,38.4,12.0,18.3,20.9,77.41,synth
distribution,HV-220kV line,224.3,8.6,20.2,62.1,98.16,synth
distribution,HV-132kV line,23.8,2.7,25.7,43.2,95.35,synth
distribution,HV-220kV line,350.3,6.0,20.3,32.6,94.77,synth
storage,Solid-State pilot,126.8,4.1,44.3,52.2,92.58,synth
production,Hydro-Francis,61.2,18.0,21.0,97.5,85.83,synth
production,Hydro-Kaplan,71.6,16.2,43.4,47.0,86.76,synth
storage,Flow-Vanadium,271.5,6.4,35.6,24.9,75.49,synth
production,Hydro-Francis,131.7,10.9,34.0,73.9,85.12,synth
storage,Li-ion NMC,257.5,17.3,34.5,33.7,89.77,synth
storage,Li-ion LFP,185.6,10.2,23.8,99.0,90.27,synth
distribution,LV-11kV line,459.4,11.7,43.8,49.7,82.27,synth
production,Wind-DirectDrive 4MW,165.0,16.6,16.1,98.1,91.36,synth
production,Solar-TOPCon 580W,29.3,3.2,30.4,51.1,89.85,synth
storage,Solid-State pilot,311.7,3.0,41.2,61.2,91.9,synth
distribution,HV-132kV line,50.0,8.4,23.6,66.3,92.07,synth
production,Hydro-Francis,82.1,14.2,30.0,94.0,83.22,synth
production,Solar-TOPCon 580W,208.0,13.9,38.5,72.9,89.59,synth
production,Wind-Geared 2MW,166.2,1.5,18.2,22.4,87.08,synth
distribution,HVDC link,176.7,9.4,27.7,71.6,94.88,synth
distribution,HV-220kV line,19.0,16.5,34.7,63.8,97.13,synth
storage,Li-ion NMC,56.5,6.8,16.6,24.0,87.66,synth
